id,ux,uy,uz,magnitude
49841,-0.8676132230,0.4488506741,-0.2139634728,3.610000
15900,0.6188027086,0.7697131254,0.1569232693,3.610000
37819,-0.3494628082,0.7066606500,-0.6152287960,3.620000
82729,-0.2080664442,-0.7089934593,-0.6738224020,3.620000
7097,0.8885311469,0.3748011918,0.2646440396,3.620000
113726,0.7157133437,-0.1853566421,0.6733478484,3.620000
57363,-0.3943082260,0.0248068969,-0.9186433698,3.630000
101769,0.6140929314,-0.7479273560,0.2519812329,3.640000
46733,-0.3612478834,0.2733718427,0.8914975055,3.650000
77233,-0.5314002677,-0.8043014930,0.2659189046,3.650000
20205,0.4077704897,0.8724429019,0.2693819046,3.650000
88714,0.0185594844,-0.6412944611,-0.7670703747,3.650000
110960,0.9219252999,-0.3873675552,-0.0003443984,3.650000
75695,-0.5384452758,-0.6880855796,0.4864307968,3.660000
76600,-0.5020019583,-0.7080559055,-0.4966395761,3.660000
68756,-0.3703186101,-0.2233591683,0.9016511570,3.670000
103227,0.3614729593,-0.3782231707,-0.8522232882,3.670000
97365,0.4281846590,-0.8459400052,0.3178732537,3.680000
22549,0.2942694459,0.9507185377,0.0976716713,3.680000
114341,0.9099064819,-0.2040214302,-0.3611723277,3.680000
42828,-0.5479268885,0.6325894706,-0.5473633954,3.680000
47854,-0.3841041059,0.2560539225,-0.8870740807,3.690000
106985,0.7849862412,-0.5491638612,-0.2867327236,3.690000
2920,0.5815899726,0.0946454712,0.8079575103,3.690000
9007,0.5432019218,0.3010580594,-0.7837701940,3.690000
23453,0.1872230515,0.7302229106,0.6570555758,3.690000
57399,-0.6707391153,0.0408920888,0.7405652411,3.690000
87933,-0.0085005401,-0.8724736881,0.4885871514,3.700000
114971,0.9809887453,-0.1854256441,0.0572574192,3.700000
15474,0.5984900563,0.7102146297,-0.3706815780,3.700000
38414,-0.3572196958,0.6703023103,-0.6504528436,3.710000
98036,0.4791827825,-0.8705999497,0.1115329030,3.710000
88771,0.0316114433,-0.9855927772,0.1661553313,3.710000
22797,0.2827056598,0.9582609433,0.0425849077,3.710000
77622,-0.5326498332,-0.8427264711,0.0780784865,3.710000
28103,0.0152136303,0.9694679140,-0.2447458052,3.710000
104060,0.5201074235,-0.4981931341,0.6937520228,3.720000
16537,0.5905169712,0.7901179075,-0.1643271097,3.720000
28358,0.0011945015,0.5837695874,0.8119184947,3.720000
107089,0.1796174329,-0.1240428275,-0.9758847036,3.730000
112961,0.9487240420,-0.2872718692,-0.1318998302,3.730000
72220,-0.7478364285,-0.6630609207,0.0330286481,3.730000
87585,-0.0154182961,-0.5462770121,0.8374626572,3.730000
104887,0.5916122033,-0.5197537526,0.6163205639,3.740000
8645,0.8697042042,0.4598123068,-0.1794080258,3.740000
80170,-0.3920413219,-0.8594503177,0.3280986944,3.740000
44511,-0.4900052843,0.4725611577,-0.7325167395,3.750000
87108,-0.0527471950,-0.9974906209,0.0472249362,3.750000
26069,0.0530395803,0.4588521085,-0.8869281512,3.760000
27654,0.0353452216,0.9336400592,-0.3564645217,3.760000
95853,0.2362866021,-0.5725166308,0.7851072214,3.760000
111169,0.5917349879,-0.2411898884,0.7692055264,3.760000
30867,-0.1244659781,0.9846400479,-0.1224426248,3.760000
